,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout,Département,Libellé du département,Nbvoix,%popent,%popvot
73,10.0,Redskins,W33 | FR 42,Neuf avec étiquette,,Arles,Carte bancaire,2,"12/29/2023, 12:27:06 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
74,5.0,Pull & Bear,W26 | FR 36,Très bon état,,Cabriès,Carte bancaire,124,"12/28/2023, 6:55:30 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
75,5.0,Openfield,W36 | FR 46,Très bon état,,Seichamps,Carte bancaire,126,"12/28/2023, 6:50:32 AM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
76,5.0,John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne",Villejuif,Carte bancaire,0,"12/29/2023, 11:46:27 AM",94,Val-de-Marne,150867.0,18.8,40.26
77,10.0,RAW,W25 | FR 34,Neuf sans étiquette,,Paris,Carte bancaire,0,"12/29/2023, 12:15:38 PM",75,Paris,298944.0,21.94,40.16
78,7.0,ICON,W32 | FR 42,Très bon état,,Berre-l'Étang,Carte bancaire,105,"12/27/2023, 10:16:05 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
79,5.0,Jack & Jones,W32 | FR 42,Très bon état,,Guiler-sur-Goyen,Carte bancaire,125,"12/24/2023, 10:42:36 AM",29,Finistère,118179.0,16.59,32.06
80,5.0,Kiliwatch,W32 | FR 42,Neuf sans étiquette,,Camaret-sur-Aigues,Carte bancaire,0,"12/29/2023, 12:39:04 PM",84,Vaucluse,49879.0,12.06,26.27
81,6.0,,W34 | FR 44,Très bon état,,Lamonzie-Saint-Martin,Carte bancaire,13,"12/28/2023, 5:49:40 PM",24,Dordogne,43986.0,13.77,25.77
82,5.0,Dsquared2,W23 | FR 32,Satisfaisant,,Carpiquet,Carte bancaire,67,"12/28/2023, 2:35:59 PM",14,Calvados,75199.0,14.61,29.09
83,8.0,Quiksilver,W36 | FR 46,Très bon état,Coton,Saint-Germain,Carte bancaire,2,"12/26/2023, 8:31:44 AM",7,Ardèche,24851.0,9.68,18.490000000000002
84,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Pardines,Carte bancaire,43,"12/28/2023, 8:12:34 PM",63,Puy-de-Dôme,92396.0,19.66,39.02
85,5.0,Bonobo,W38 | FR 48,Très bon état,,Plaisance-du-Touch,Carte bancaire,1,"12/29/2023, 11:48:27 AM",31,Haute-Garonne,167327.0,17.84,34.05
86,5.0,Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes",Broye-Aubigney-Montseugny,Carte bancaire,19,"12/27/2023, 9:47:41 AM",70,Haute-Saône,19043.0,10.69,21.29
87,5.0,ICON,W23 | FR 32,Très bon état,,Quimper,Carte bancaire,48,"12/28/2023, 4:13:03 PM",29,Finistère,118179.0,16.59,32.06
88,6.0,Celio,W40 | FR 50,Très bon état,Coton,Saint-Geours-de-Maremne,Carte bancaire,10,"12/28/2023, 2:19:04 PM",40,Landes,55420.0,16.74,31.939999999999998
89,5.0,Sixth Sense,W48 | FR 58,Bon état,,Blainville-sur-l'Eau,Carte bancaire,7,"12/28/2023, 1:36:41 PM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
90,8.0,Bershka,W31 | FR 40,Bon état,"Coton, V",Guissény,Carte bancaire,44,"12/28/2023, 11:05:33 AM",29,Finistère,118179.0,16.59,32.06
91,5.0,Kiabi,W40 | FR 50,Très bon état,,La Bazoge,Carte bancaire,4,"12/29/2023, 10:13:26 AM",50,Manche,48914.0,12.72,25.990000000000002
92,6.0,Creeks,W36 | FR 46,Très bon état,,Lattes,Carte bancaire,9,"12/28/2023, 2:42:21 PM",34,Hérault,119495.0,14.02,29.759999999999998
93,10.0,Jack & Jones,W33 | FR 42,Neuf sans étiquette,,Saint-Denis-du-Payré,Carte bancaire,4,"12/29/2023, 12:34:58 PM",85,Vendée,64225.0,11.62,24.23
94,5.0,Pull & Bear,W28 | FR 38,Très bon état,Denim,Saint-Bernard,Carte bancaire,0,"12/29/2023, 11:51:59 AM",1,Ain,51895.0,11.78,25.04
95,8.0,G-Star,W32 | FR 42,Très bon état,,Chamalières,Carte bancaire,20,"12/29/2023, 10:06:25 AM",63,Puy-de-Dôme,92396.0,19.66,39.02
96,6.0,Devred,W33 | FR 42,Très bon état,,Bussières,Carte bancaire,9,"12/28/2023, 10:50:59 AM",21,Côte-d'Or,46366.0,12.59,25.119999999999997
97,6.0,Red Bridge,W30 | FR 40,Très bon état,Coton,Hérouville-Saint-Clair,Carte bancaire,2,"12/29/2023, 12:19:55 PM",14,Calvados,75199.0,14.61,29.09
98,8.0,,W23 | FR 32,Très bon état,,Hombleux,Carte bancaire,0,"12/29/2023, 12:40:10 PM",80,Somme,52514.0,12.78,26.61
99,5.0,Ritchie,W30 | FR 40,Très bon état,"Coton, Polyes",Aveizieux,Carte bancaire,0,"12/29/2023, 12:04:03 PM",42,Loire,60447.0,11.71,24.85
100,5.0,Bonobo,W26 | FR 36,Neuf sans étiquette,,Saint-Laurs,Carte bancaire,7,"12/28/2023, 10:16:46 AM",79,Deux-Sèvres,40743.0,14.860000000000001,30.64
101,5.0,Wrangler,W31 | FR 40,Très bon état,"Coton, Polyes",Aveizieux,Carte bancaire,2,"12/29/2023, 12:09:31 PM",42,Loire,60447.0,11.71,24.85
102,6.0,Jules,W32 | FR 42,Très bon état,,Saint-Nicolas-de-la-Taille,Carte bancaire,1,"12/29/2023, 12:21:02 PM",76,Seine-Maritime,134442.0,15.23,31.92
103,5.0,SMOG,W36 | FR 46,Bon état,,Le Mans,Carte bancaire,5,"12/28/2023, 8:43:05 PM",72,Sarthe,46201.0,11.209999999999999,25.23
104,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Perros-Guirec,Carte bancaire,8,"12/27/2023, 1:35:41 PM",22,Côtes-d'Armor,72743.0,15.37,28.380000000000003
105,5.0,districenter,M,Très bon état,,Saint-Jean-de-Maurienne,Carte bancaire,5,"12/28/2023, 5:26:51 PM",73,Savoie,44566.0,13.84,28.009999999999998
106,5.0,Teddy Smith,S,Bon état,,Olivet,Carte bancaire,4,"12/27/2023, 8:55:42 PM",45,Loiret,55327.0,12.040000000000001,24.99
107,5.0,GovdenimM5888,W34 | FR 44,Très bon état,Coton,Segonzac,Carte bancaire,25,"12/27/2023, 4:55:37 PM",16,Charente,32282.0,12.49,25.59
108,8.0,NEW Stone,W32 | FR 42,Bon état,,Sornay,Carte bancaire,4,"12/27/2023, 4:28:43 PM",70,Haute-Saône,19043.0,10.69,21.29
109,15.0,Levi's,W30 | FR 40,Très bon état,,Paris,Carte bancaire,121,"12/28/2023, 10:13:59 PM",75,Paris,298944.0,21.94,40.16
110,6.0,Kaporal,W32 | FR 42,Très bon état,Coton,Serqueux,Carte bancaire,81,"12/26/2023, 8:43:06 PM",52,Haute-Marne,,,
111,5.0,Zara,M,Neuf sans étiquette,,Carnoux-en-Provence,Carte bancaire,22,"12/26/2023, 9:42:49 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
112,5.0,Uniqlo,W30 | FR 40,Neuf sans étiquette,,Levallois-Perret,Carte bancaire,36,"12/29/2023, 1:02:50 AM",92,Hauts-de-Seine,165750.0,16.51,31.63
113,5.0,Zara,W28 | FR 38,Bon état,,Lignan-sur-Orb,Carte bancaire,0,"12/29/2023, 12:22:57 PM",34,Hérault,119495.0,14.02,29.759999999999998
114,6.0,Jack & Jones,W31 | FR 40,Bon état,Coton,Le Thor,Carte bancaire,16,"12/26/2023, 3:22:33 PM",84,Vaucluse,49879.0,12.06,26.27
115,5.0,Celio,W34 | FR 44,Très bon état,,Mouzon,Carte bancaire,36,"12/26/2023, 10:00:47 PM",8,Ardennes,16083.0,8.6,19.11
116,5.0,Sixth June,W33 | FR 42,Bon état,,Les Pennes-Mirabeau,Carte bancaire,6,"12/27/2023, 10:53:39 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
117,5.0,Bonobo,W30 | FR 40,Très bon état,Coton,Saint-Mihiel,Carte bancaire,17,"12/27/2023, 6:34:12 PM",55,Meuse,12362.0,9.15,19.79
118,8.0,Diesel,W34 | FR 44,Bon état,,Bellegarde,Carte bancaire,55,"12/27/2023, 2:20:24 PM",30,Gard,73880.0,13.25,28.74
